Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
29,69,0,Live Oak,4180,Two Year,United States,2253-KPMNB,Stayed,1,1,Female,1,2,"39.258746, -121.77697",39.258746,-121.77697,1,46.25,0,2,10,,1,1,0,1,Bank Withdrawal,0,8695,1,Q3,1,4,0,California,0,0,0,69,3121.4,0,0,0,3121.4,1,1,95953,0
28,0,41.9,Palermo,2941,Month-to-Month,United States,6184-DYUOB,Joined,0,0,Female,0,,"39.435756, -121.552071",39.435756,-121.552071,1,19.6,0,0,5,,0,0,1,1,Credit Card,1,1254,0,Q3,1,3,0,California,0,0,0,3,55.25,0,125.7,0,180.95,1,0,95968,0
48,51,34.7,Penn Valley,4076,Month-to-Month,United States,9644-UMGQA,Stayed,1,0,Male,1,2,"39.203817, -121.19584",39.203817,-121.19584,1,49.15,0,3,1,Offer E,0,1,1,1,Bank Withdrawal,1,9752,0,Q3,1,3,0,California,0,0,0,6,295.65,0,208.2,0,503.85,0,1,95946,0
76,18,11.01,San Luis Obispo,4251,Two Year,United States,3657-COGMW,Stayed,0,1,Female,1,3,"35.236549, -120.727344",35.236549,-120.727344,0,108.1,1,0,0,,1,1,0,0,Credit Card,1,31982,0,Q3,0,4,1,California,1,0,1,52,5839.3,0,572.52,0,6411.82,0,1,93405,0
37,0,37.59,Mecca,4613,One Year,United States,3724-BSCVH,Stayed,1,0,Male,0,,"33.543835, -115.993906",33.543835,-115.993906,1,20.45,0,1,0,Offer D,0,0,0,1,Credit Card,1,8768,0,Q3,0,4,0,California,0,0,0,10,242.4,0,375.9,0,618.3,0,0,92254,0
71,10,18.43,Colusa,5035,One Year,United States,2205-LPVGL,Stayed,1,0,Male,1,3,"39.273096, -122.050763",39.273096,-122.050763,1,89.85,1,1,1,Offer B,1,1,1,1,Bank Withdrawal,1,7503,1,Q3,1,3,1,California,0,0,0,58,5125.75,130,1068.94,0,6324.69,0,0,95932,0
20,76,39.05,South Gate,4098,One Year,United States,5578-NKCXI,Stayed,1,0,Female,1,3,"33.944624, -118.192615",33.944624,-118.192615,1,99.25,0,2,9,,1,1,0,1,Credit Card,1,96267,0,Q3,1,3,0,California,1,1,1,58,5846.65,0,2264.9,0,8111.55,1,1,90280,0
37,22,29.68,Los Angeles,5764,Month-to-Month,United States,9763-GRSKD,Stayed,1,0,Male,1,2,"34.065875, -118.238728",34.065875,-118.238728,1,49.95,0,2,1,Offer D,0,1,1,1,Mailed Check,1,30596,0,Q3,1,3,0,California,0,0,0,13,587.45,150,385.84,0,1123.29,0,0,90012,0
41,29,16.16,Morongo Valley,4489,One Year,United States,4877-TSOFF,Stayed,1,0,Female,1,2,"34.097863, -116.594561",34.097863,-116.594561,1,75.75,1,3,7,Offer B,1,1,1,1,Bank Withdrawal,1,3499,1,Q3,1,3,0,California,1,1,0,55,4264.25,0,888.8,0,5153.05,0,1,92256,0
44,24,0,Rancho Santa Fe,5281,One Year,United States,8745-PVESG,Stayed,0,1,Female,1,2,"33.012751, -117.200617",33.012751,-117.200617,0,41.1,0,0,0,,0,1,1,0,Credit Card,0,7615,1,Q3,0,4,0,California,0,0,0,57,2258.25,0,0,0,2258.25,0,1,92067,0
37,0,11.75,Frazier Park,4517,Two Year,United States,5845-BZZIB,Stayed,1,0,Male,0,,"34.907911, -119.234281",34.907911,-119.234281,1,20.1,0,3,7,,0,0,0,1,Credit Card,1,1526,0,Q3,1,3,0,California,0,0,0,35,655.3,0,411.25,38.61,1027.94,0,0,93222,0
27,47,23.88,Oxnard,5801,One Year,United States,0516-UXRMT,Stayed,0,1,Female,1,3,"34.156629, -119.117218",34.156629,-119.117218,0,92.05,1,0,0,,1,1,1,0,Bank Withdrawal,1,77791,0,Q3,0,3,0,California,0,0,0,62,5755.8,0,1480.56,14.21,7222.15,1,1,93033,0
55,29,0,Wishon,3891,Month-to-Month,United States,4815-GBTCD,Stayed,0,0,Female,1,2,"37.287758, -119.548156",37.287758,-119.548156,1,25.15,0,0,1,,0,0,1,1,Bank Withdrawal,0,327,0,Q3,1,4,0,California,0,0,0,4,99.95,0,0,0,99.95,0,1,93669,0
43,4,24.41,Sylmar,4237,Month-to-Month,United States,9840-EFJQB,Joined,0,0,Female,1,3,"34.321621, -118.399841",34.321621,-118.399841,0,74.35,0,0,0,,1,0,0,0,Bank Withdrawal,1,81986,0,Q3,0,4,0,California,0,0,0,1,74.35,0,24.41,0,98.76,0,1,91342,0
62,11,1.63,Earlimart,3608,One Year,United States,6586-PSJOX,Stayed,1,1,Male,1,2,"35.858054, -119.305858",35.858054,-119.305858,0,55.2,0,2,0,Offer D,0,0,0,0,Credit Card,1,9318,1,Q3,0,4,0,California,0,0,0,15,864.55,80,24.45,0,969,0,0,93219,0
59,53,27.49,Roseville,3853,Month-to-Month,United States,5977-CKHON,Stayed,1,1,Female,1,3,"38.759751, -121.288545",38.759751,-121.288545,1,92.55,1,3,3,Offer B,0,0,1,1,Bank Withdrawal,1,30614,0,Q3,1,3,0,California,1,1,0,43,4039,0,1182.07,0,5221.07,0,1,95678,0
62,0,35.77,Fiddletown,5250,Two Year,United States,7596-IIWYC,Stayed,0,0,Female,0,,"38.513484, -120.704613",38.513484,-120.704613,0,20.25,0,0,0,,0,0,1,0,Bank Withdrawal,1,850,0,Q3,0,3,0,California,0,0,0,27,538.2,0,965.79,0,1503.99,0,0,95629,0
28,46,4.15,Earp,4334,Month-to-Month,United States,4724-WXVWF,Stayed,0,0,Male,1,3,"34.137742, -114.36514",34.137742,-114.36514,0,95.4,1,0,0,,0,1,1,0,Bank Withdrawal,1,1564,1,Q3,0,3,0,California,1,1,0,48,4445.3,0,199.2,0,4644.5,1,1,92242,0
20,26,18.46,Chico,2292,Month-to-Month,United States,7901-HXJVA,Stayed,0,1,Male,1,3,"39.681488, -121.83721",39.681488,-121.83721,0,76.45,0,0,0,,0,0,0,0,Bank Withdrawal,1,32848,0,Q3,0,4,0,California,0,0,0,14,1117.55,0,258.44,0,1375.99,1,1,95928,0
54,7,22.39,Daly City,2122,Month-to-Month,United States,0207-MDKNV,Churned,0,1,Female,1,3,"37.691561, -122.445202",37.691561,-122.445202,0,105.1,0,0,0,,0,1,0,0,Bank Withdrawal,1,47453,1,Q3,0,1,0,California,1,1,1,15,1582.75,0,335.85,0,1918.6,0,1,94014,1
21,52,1.51,Palm Springs,4899,Month-to-Month,United States,5973-EJGDP,Stayed,0,1,Male,1,3,"33.745746, -116.514215",33.745746,-116.514215,0,87.35,1,0,0,Offer B,1,0,1,0,Bank Withdrawal,1,18884,1,Q3,0,5,0,California,0,0,0,51,4473,0,77.01,0,4550.01,1,0,92264,0
72,6,36.36,Jolon,4078,Month-to-Month,United States,8922-LIEGH,Churned,0,0,Female,1,3,"35.930782, -121.189757",35.930782,-121.189757,0,89.7,1,0,0,,1,0,1,0,Bank Withdrawal,1,254,0,Q3,0,3,1,California,1,0,0,25,2187.55,0,909,23.33,3073.22,0,1,93928,1
49,14,44.79,Imperial,5160,One Year,United States,3067-SVMTC,Stayed,0,0,Female,1,1,"32.858595, -115.662709",32.858595,-115.662709,1,55.9,0,0,9,,0,1,0,1,Bank Withdrawal,1,14546,1,Q3,1,3,0,California,0,0,0,68,3848.8,20,3045.72,0,6914.52,0,0,92251,0
23,52,0,Mission Hills,3422,Month-to-Month,United States,3472-OAOOR,Stayed,1,0,Male,1,1,"34.266389, -118.459744",34.266389,-118.459744,1,34.95,0,1,3,,1,1,1,1,Credit Card,0,17112,0,Q3,1,3,0,California,0,0,0,19,610.2,0,0,0,610.2,1,1,91345,0
23,0,29.79,Keyes,3733,Two Year,United States,5006-MXVRN,Stayed,0,0,Female,0,,"37.555631, -120.911653",37.555631,-120.911653,0,20.7,0,0,0,,0,0,0,0,Credit Card,1,2130,0,Q3,0,4,0,California,0,0,0,39,762.45,0,1161.81,0,1924.26,1,0,95328,0
70,28,44.38,Shasta,5418,One Year,United States,4827-LTQRJ,Stayed,1,0,Female,1,3,"40.617614, -122.512861",40.617614,-122.512861,1,110.6,1,2,1,,1,1,1,1,Credit Card,1,528,1,Q3,1,4,1,California,1,0,1,66,7210.85,0,2929.08,0,10139.93,0,1,96087,0
43,53,26.32,Costa Mesa,5308,Two Year,United States,6859-QNXIQ,Stayed,1,1,Female,1,3,"33.678591, -117.905471",33.678591,-117.905471,1,113.1,1,5,10,,1,1,1,1,Bank Withdrawal,1,48207,1,Q3,1,3,0,California,1,1,1,72,8248.5,0,1895.04,0,10143.54,0,1,92626,0
39,23,33.22,North Highlands,5943,Month-to-Month,United States,0129-KPTWJ,Stayed,0,1,Male,1,3,"38.671295, -121.388251",38.671295,-121.388251,1,94.65,0,0,9,,0,0,1,1,Bank Withdrawal,1,32202,0,Q3,1,3,0,California,1,1,1,72,6747.35,0,2391.84,0,9139.19,0,1,95660,0
60,22,6.05,Sebastopol,5466,Two Year,United States,8390-FESFV,Stayed,0,1,Female,1,2,"38.398815, -122.861923",38.398815,-122.861923,0,84.5,1,0,0,,1,0,0,0,Bank Withdrawal,1,31266,1,Q3,0,4,0,California,1,1,1,62,5193.2,0,375.1,0,5568.3,0,1,95472,0
52,3,30.75,Barstow,4842,Two Year,United States,4376-KFVRS,Stayed,0,1,Male,1,3,"34.965648, -117.001509",34.965648,-117.001509,1,114.05,1,0,5,Offer A,1,1,1,1,Credit Card,1,31293,1,Q3,1,3,0,California,1,1,1,72,8468.2,0,2214,0,10682.2,0,1,92311,0
34,0,40.05,San Francisco,2102,Month-to-Month,United States,0568-ONFPC,Churned,1,0,Male,0,,"37.720498, -122.443119",37.720498,-122.443119,1,25.9,1,1,1,Offer E,0,0,1,1,Bank Withdrawal,1,73117,0,Q3,1,1,0,California,0,0,0,5,135,0,200.25,0,335.25,0,0,94112,1
45,0,12.97,Salton City,3076,One Year,United States,9229-RQABD,Stayed,0,0,Male,0,,"33.28156, -115.955541",33.28156,-115.955541,0,23.75,1,0,0,Offer D,0,0,0,0,Credit Card,1,799,0,Q3,0,4,0,California,0,0,0,18,424.5,0,233.46,0,657.96,0,0,92275,0
77,30,0,National City,5829,Month-to-Month,United States,9591-YVTEB,Stayed,0,0,Male,1,2,"32.67102, -117.095235",32.67102,-117.095235,0,44.85,0,0,0,Offer B,1,1,1,0,Bank Withdrawal,0,62355,0,Q3,0,3,1,California,0,0,1,55,2479.05,0,0,0,2479.05,0,1,91950,0
23,71,26.86,Penngrove,5232,Month-to-Month,United States,4482-FTFFX,Stayed,0,1,Male,1,2,"38.325599, -122.642352",38.325599,-122.642352,0,56.15,0,0,0,,0,0,0,0,Bank Withdrawal,1,3777,1,Q3,0,4,0,California,0,0,0,5,291.45,0,134.3,0,425.75,1,1,94951,0
24,59,6.78,Scotts Valley,4654,Month-to-Month,United States,7363-QTBIW,Stayed,0,0,Female,1,3,"37.070177, -122.010077",37.070177,-122.010077,1,79.75,0,0,3,,0,0,1,1,Bank Withdrawal,1,14574,0,Q3,1,5,0,California,1,1,0,9,769.1,0,61.02,0,830.12,1,1,95066,0
52,8,49.24,San Francisco,2418,Month-to-Month,United States,4550-EVXNY,Churned,0,0,Female,1,3,"37.786031, -122.437301",37.786031,-122.437301,0,69.65,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,33122,0,Q3,0,2,0,California,0,0,0,1,69.65,0,49.24,0,118.89,0,1,94115,1
56,29,0,Reseda,5518,Month-to-Month,United States,7758-XKCBS,Churned,0,0,Male,1,2,"34.200175, -118.540958",34.200175,-118.540958,0,29.7,0,0,0,,0,0,1,0,Bank Withdrawal,0,68018,1,Q3,0,1,0,California,0,0,0,15,438.25,90,0,0,528.25,0,0,91335,1
51,0,31.06,Chico,3985,Month-to-Month,United States,7808-DVWEP,Joined,0,0,Male,0,,"39.745712, -121.84333",39.745712,-121.84333,1,20,0,0,3,,0,0,0,1,Bank Withdrawal,1,35808,0,Q3,1,3,0,California,0,0,0,3,49.65,0,93.18,0,142.83,0,0,95926,0
48,25,14.18,Rough And Ready,4544,Two Year,United States,0536-ESJEP,Stayed,0,0,Male,1,2,"39.225634, -121.156163",39.225634,-121.156163,1,74.55,0,0,8,,1,1,1,1,Bank Withdrawal,1,1601,0,Q3,1,4,0,California,1,1,1,54,4191.45,0,765.72,0,4957.17,0,1,95975,0
23,26,18.83,Long Beach,3905,Month-to-Month,United States,3834-XUIFC,Churned,0,0,Male,1,3,"33.771612, -118.143866",33.771612,-118.143866,0,85.2,1,0,0,Offer E,0,0,1,0,Credit Card,1,19034,0,Q3,0,1,0,California,1,1,0,7,602.55,0,131.81,0,734.36,1,1,90814,1
46,14,11.45,Lebec,5133,Month-to-Month,United States,2920-RNCEZ,Joined,1,0,Male,1,3,"34.845861, -118.885163",34.845861,-118.885163,1,69.95,0,1,10,,0,0,1,1,Credit Card,1,1247,0,Q3,1,3,0,California,0,0,0,1,69.95,0,11.45,0,81.4,0,1,93243,0
35,0,17.21,Washington,4424,Two Year,United States,3457-PQBYH,Stayed,1,0,Female,0,,"39.34128, -120.786867",39.34128,-120.786867,1,20.3,0,1,6,,0,0,0,1,Credit Card,1,145,0,Q3,1,3,0,California,0,0,0,58,1160.75,0,998.18,25.57,2133.36,0,0,95986,0
62,0,29.18,Novato,4074,One Year,United States,8430-TWCBX,Stayed,0,0,Female,0,,"38.112166, -122.634384",38.112166,-122.634384,1,20.7,0,0,0,,0,0,0,1,Credit Card,1,24741,0,Q3,0,3,0,California,0,0,0,49,1032.05,0,1429.82,0,2461.87,0,0,94947,0
57,4,33.54,Monterey Park,4885,One Year,United States,1950-KSVVJ,Stayed,0,1,Female,1,3,"34.050322, -118.147037",34.050322,-118.147037,1,113.3,1,0,1,Offer B,1,1,0,1,Mailed Check,1,33280,1,Q3,1,3,0,California,1,1,1,45,5032.25,0,1509.3,0,6541.55,0,1,91754,0
19,0,3.28,Redondo Beach,4833,Two Year,United States,3768-VHXQO,Stayed,0,0,Male,0,,"33.873395, -118.37019",33.873395,-118.37019,1,24.85,1,0,9,Offer A,0,0,0,1,Credit Card,1,37322,0,Q3,1,4,0,California,0,0,0,67,1583.5,0,219.76,0,1803.26,1,0,90278,0
36,0,4.89,Richgrove,4155,Two Year,United States,9365-CSLBQ,Stayed,1,0,Male,0,,"35.809921, -119.127437",35.809921,-119.127437,0,24.35,1,3,0,,0,0,0,0,Credit Card,1,2956,0,Q3,0,4,0,California,0,0,0,71,1654.6,0,347.19,0,2001.79,0,0,93261,0
20,59,17.42,Oakland,2085,Month-to-Month,United States,0929-HYQEW,Joined,0,0,Male,1,2,"37.776523, -122.219268",37.776523,-122.219268,0,50.15,0,0,0,,0,1,1,0,Credit Card,1,54876,0,Q3,0,3,0,California,0,0,0,3,160.85,0,52.26,0,213.11,1,1,94601,0
34,8,0,Vallejo,2854,Month-to-Month,United States,2582-FFFZR,Stayed,0,1,Female,1,2,"38.093701, -122.276589",38.093701,-122.276589,0,50.6,0,0,0,,0,0,1,0,Bank Withdrawal,0,159,0,Q3,0,4,0,California,1,1,1,22,1073.3,0,0,0,1073.3,0,1,94592,0
54,22,20.48,Sausalito,5157,Month-to-Month,United States,5536-RTPWK,Churned,0,0,Male,1,3,"37.848641, -122.515692",37.848641,-122.515692,1,99.05,1,0,1,Offer B,1,0,1,1,Bank Withdrawal,1,11213,0,Q3,1,2,0,California,1,1,1,49,4853.75,0,1003.52,14.24,5843.03,0,1,94965,1
34,23,47.72,San Diego,6034,One Year,United States,0422-UXFAP,Stayed,0,1,Female,1,3,"32.825086, -117.199424",32.825086,-117.199424,1,98.85,1,0,1,Offer B,0,0,1,1,Bank Withdrawal,1,51213,0,Q3,1,5,0,California,1,1,1,51,4947.55,130,2433.72,0,7511.27,0,0,92117,0
32,57,13.13,Huntington Park,2483,Month-to-Month,United States,5919-TMRGD,Churned,1,0,Female,1,3,"33.97803, -118.217141",33.97803,-118.217141,0,79.35,0,3,0,,0,0,1,0,Bank Withdrawal,1,78114,0,Q3,0,1,0,California,0,0,1,1,79.35,0,13.13,0,92.48,0,1,90255,1
53,10,21.39,Pioneertown,2770,Month-to-Month,United States,7398-LXGYX,Stayed,0,1,Male,1,3,"34.201108, -116.593456",34.201108,-116.593456,1,84.8,1,0,2,Offer B,0,1,1,1,Credit Card,1,354,0,Q3,1,4,0,California,0,0,0,44,3626.35,0,941.16,43.96,4523.55,0,1,92268,0
74,24,28.54,Strathmore,3568,One Year,United States,7251-LJBQN,Stayed,0,1,Female,1,3,"36.141319, -119.129075",36.141319,-119.129075,0,103.75,1,0,0,,0,0,1,0,Credit Card,1,5689,1,Q3,0,3,1,California,1,0,1,40,4188.4,0,1141.6,0,5330,0,1,93267,0
23,0,27.72,Tarzana,3800,One Year,United States,4709-LKHYG,Stayed,0,0,Female,0,,"34.157137, -118.548511",34.157137,-118.548511,1,20,0,0,6,Offer C,0,0,0,1,Bank Withdrawal,1,27424,0,Q3,1,5,0,California,0,0,0,29,540.05,0,803.88,0,1343.93,1,0,91356,0
53,17,16.58,El Segundo,3469,Month-to-Month,United States,6101-IMRMM,Churned,0,1,Male,1,3,"33.917145, -118.401554",33.917145,-118.401554,0,94.5,0,0,0,Offer E,0,0,0,0,Mailed Check,1,16041,0,Q3,0,2,0,California,1,1,1,6,575.45,10,99.48,0,684.93,0,0,90245,1
63,0,45.7,Gonzales,5823,One Year,United States,4795-UXVCJ,Stayed,0,0,Male,0,,"36.52588, -121.396719",36.52588,-121.396719,0,19.8,0,0,0,Offer C,0,0,0,0,Credit Card,1,9023,0,Q3,0,3,0,California,0,0,0,26,457.3,0,1188.2,0,1645.5,0,0,93926,0
78,12,17.23,Lake Forest,3621,Month-to-Month,United States,4631-OACRM,Churned,0,0,Male,1,3,"33.644849, -117.684254",33.644849,-117.684254,0,79.4,0,0,0,,0,0,1,0,Bank Withdrawal,1,59176,0,Q3,0,1,1,California,1,0,0,15,1156.1,0,258.45,0,1414.55,0,1,92630,1
47,11,4.02,Alpaugh,4895,Month-to-Month,United States,6959-UWKHF,Churned,0,0,Male,1,1,"35.869626, -119.498771",35.869626,-119.498771,0,42.9,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,1054,0,Q3,0,1,0,California,0,0,0,1,42.9,0,4.02,0,46.92,0,1,93201,1
37,7,0,Ballico,4348,Month-to-Month,United States,8644-XYTSV,Stayed,0,0,Male,1,2,"37.4695, -120.672724",37.4695,-120.672724,1,40.15,0,0,1,Offer B,0,1,1,1,Bank Withdrawal,0,809,0,Q3,1,4,0,California,0,0,1,42,1626.05,0,0,0,1626.05,0,1,95303,0
38,19,5.36,Desert Hot Springs,2432,Month-to-Month,United States,4273-MBHYA,Joined,1,0,Female,1,3,"33.832799, -116.250973",33.832799,-116.250973,0,89.35,0,1,0,,0,0,1,0,Bank Withdrawal,1,5529,0,Q3,0,3,0,California,1,1,1,1,89.35,0,5.36,0,94.71,0,1,92241,0
64,0,39.3,Pomona,4382,Two Year,United States,6976-BWGLQ,Stayed,1,0,Female,0,,"34.042286, -117.756106",34.042286,-117.756106,1,25.2,1,3,1,Offer A,0,0,0,1,Bank Withdrawal,1,69974,0,Q3,1,3,0,California,0,0,0,72,1787.35,0,2829.6,0,4616.95,0,0,91766,0
33,16,5.16,San Jose,4162,Month-to-Month,United States,3945-GFWQL,Churned,1,0,Female,1,2,"37.333851, -121.891147",37.333851,-121.891147,0,44.55,0,1,0,,0,0,1,0,Bank Withdrawal,1,561,0,Q3,0,3,0,California,0,0,0,12,480.6,0,61.92,18.21,524.31,0,0,95113,1
20,69,32.29,San Juan Bautista,5468,Two Year,United States,2516-XSJKX,Stayed,1,0,Female,1,2,"36.810568, -121.503022",36.810568,-121.503022,1,78.45,0,2,1,,1,1,0,1,Bank Withdrawal,1,3402,1,Q3,1,3,0,California,1,1,1,41,3126.45,0,1323.89,0,4450.34,1,1,95045,0
45,12,32.44,Fresno,3522,Month-to-Month,United States,6982-SSHFK,Churned,0,0,Male,1,2,"36.768774, -119.762633",36.768774,-119.762633,0,44.4,0,0,0,Offer E,0,0,0,0,Mailed Check,1,31180,0,Q3,0,1,0,California,0,0,0,1,44.4,0,32.44,0,76.84,0,1,93703,1
72,17,36.27,Albion,3468,Month-to-Month,United States,6458-CYIDZ,Stayed,0,0,Female,1,3,"39.225694, -123.717354",39.225694,-123.717354,0,80.7,0,0,0,Offer E,1,1,0,0,Bank Withdrawal,1,1054,0,Q3,0,4,1,California,0,0,0,5,374.8,0,181.35,0,556.15,0,1,95410,0
46,13,43.57,Riverdale,4754,Two Year,United States,0320-DWVTU,Stayed,0,1,Female,1,3,"36.452211, -119.94575",36.452211,-119.94575,0,99.5,0,0,0,Offer B,1,1,0,0,Credit Card,1,5729,1,Q3,0,3,0,California,1,1,0,53,5424.25,0,2309.21,0,7733.46,0,1,93656,0
33,20,31.61,Sausalito,5646,Month-to-Month,United States,5095-AESKG,Churned,0,0,Female,1,3,"37.848641, -122.515692",37.848641,-122.515692,1,91.5,1,0,1,,1,0,1,1,Credit Card,1,11213,0,Q3,1,3,0,California,1,1,0,3,242.95,10,94.83,0,347.78,0,0,94965,1
59,15,14.65,Big Bear City,2962,Month-to-Month,United States,3577-AMVUX,Joined,0,1,Male,1,1,"34.278967, -116.773825",34.278967,-116.773825,0,55.05,0,0,0,,0,0,0,0,Credit Card,1,9899,1,Q3,0,4,0,California,0,0,0,1,55.05,0,14.65,0,69.7,0,1,92314,0
24,0,34.16,Mission Hills,4610,Two Year,United States,3785-KTYSH,Stayed,0,0,Male,0,,"34.266389, -118.459744",34.266389,-118.459744,0,24.6,1,0,0,,0,0,0,0,Credit Card,1,17112,0,Q3,0,5,0,California,0,0,0,53,1279,0,1810.48,37.68,3051.8,1,0,91345,0
33,29,34.49,Desert Hot Springs,5976,Month-to-Month,United States,1170-SASML,Stayed,0,1,Female,1,3,"33.948558, -116.516976",33.948558,-116.516976,1,85.4,1,0,6,Offer A,1,0,1,1,Bank Withdrawal,1,22796,0,Q3,1,5,0,California,0,0,0,69,5869.4,0,2379.81,0,8249.21,0,1,92240,0
51,8,3.81,Chula Vista,4535,Month-to-Month,United States,7011-CVEUC,Stayed,0,0,Male,1,3,"32.607964, -117.059459",32.607964,-117.059459,1,95.7,0,0,7,,0,0,1,1,Credit Card,1,71126,1,Q3,1,5,0,California,1,1,1,25,2338.35,0,95.25,0,2433.6,0,1,91911,0
47,6,3.12,Sacramento,5238,One Year,United States,2486-WYVVE,Stayed,0,1,Male,1,2,"38.490508, -121.284171",38.490508,-121.284171,1,79.3,1,0,1,,0,0,1,1,Credit Card,1,592,1,Q3,1,5,0,California,1,1,1,31,2484,0,96.72,0,2580.72,0,1,95830,0
47,18,7.31,Woodland,4336,Month-to-Month,United States,6633-MPWBS,Churned,0,0,Male,1,2,"38.694081, -121.694431",38.694081,-121.694431,0,49.2,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,15022,1,Q3,0,1,0,California,0,0,0,5,216.9,0,36.55,0,253.45,0,1,95776,1
79,15,0,San Diego,3561,Month-to-Month,United States,3317-HRTNN,Churned,0,0,Female,1,2,"32.787836, -117.232367",32.787836,-117.232376,0,45.7,0,0,0,,0,0,0,0,Bank Withdrawal,0,46086,0,Q3,0,3,1,California,1,0,1,5,198,0,0,0,198,0,1,92109,1
40,13,22.23,Amboy,2115,Month-to-Month,United States,3489-HHPFY,Joined,0,0,Female,1,3,"34.559882, -115.637164",34.559882,-115.637164,1,84.05,1,0,9,,0,0,1,1,Bank Withdrawal,1,42,0,Q3,1,5,0,California,0,0,1,2,134.05,0,44.46,0,178.51,0,1,92304,0
42,16,0,Grimes,4601,Two Year,United States,8819-WFGGJ,Stayed,0,1,Male,1,1,"39.033058, -121.895718",39.033058,-121.895718,1,54.1,0,0,7,Offer A,0,1,1,1,Bank Withdrawal,0,531,0,Q3,1,3,0,California,1,1,1,68,3794.5,0,0,0,3794.5,0,1,95950,0
67,4,0,Dos Rios,5715,One Year,United States,0723-VSOBE,Stayed,0,0,Female,1,1,"39.756049, -123.358701",39.756049,-123.358701,0,34.2,0,0,0,Offer B,0,0,0,0,Bank Withdrawal,0,91,0,Q3,0,3,1,California,1,0,0,45,1596.6,0,0,0,1596.6,0,0,95429,0
34,14,24.22,Santa Ana,3738,Month-to-Month,United States,8378-LKJAF,Stayed,1,1,Male,1,3,"33.719869, -117.907063",33.719869,-117.907063,1,101.15,1,1,9,,0,0,1,1,Credit Card,1,91188,0,Q3,1,3,0,California,1,1,1,38,3956.7,0,920.36,0,4877.06,0,1,92704,0
36,5,30.96,San Luis Obispo,3420,Month-to-Month,United States,6689-KXGBO,Churned,0,0,Female,1,2,"35.233745, -120.626442",35.233745,-120.626442,0,50.55,0,0,0,,1,0,0,0,Bank Withdrawal,1,27047,0,Q3,0,1,0,California,0,0,0,1,50.55,0,30.96,0,81.51,0,1,93401,1
69,14,19.92,Rancho Santa Fe,4045,One Year,United States,6035-BXTTY,Stayed,0,0,Female,1,2,"33.012751, -117.200617",33.012751,-117.200617,0,54.65,0,0,0,,1,0,0,0,Bank Withdrawal,1,7615,1,Q3,0,5,1,California,0,0,0,32,1830.1,10,637.44,0,2477.54,0,0,92067,0
19,53,6.91,Los Angeles,2330,Month-to-Month,United States,0697-ZMSWS,Churned,0,0,Male,1,3,"34.017697, -118.200577",34.017697,-118.200577,0,85.65,1,0,0,,0,0,1,0,Bank Withdrawal,1,47487,0,Q3,0,1,0,California,1,1,0,4,338.9,0,27.64,0,366.54,1,1,90023,1
49,0,32.47,Camino,5964,One Year,United States,8748-HFWBO,Stayed,1,0,Male,0,,"38.748316, -120.675512",38.748316,-120.675512,1,19.9,0,3,2,Offer D,0,0,0,1,Credit Card,1,4829,0,Q3,1,5,0,California,0,0,0,19,357.7,0,616.93,0,974.63,0,0,95709,0
27,48,0,San Jose,5182,One Year,United States,4081-DYXAV,Churned,0,0,Female,1,2,"37.294926, -121.894763",37.294926,-121.894763,0,44.85,0,0,0,,0,0,1,0,Credit Card,0,46185,0,Q3,0,3,0,California,1,1,1,19,893.55,0,0,0,893.55,1,1,95125,1
53,7,0,Beale Afb,3615,Month-to-Month,United States,1432-FPAXX,Churned,0,0,Female,1,2,"39.125311, -121.392283",39.125311,-121.392283,0,30.6,0,0,0,,1,0,1,0,Bank Withdrawal,0,5654,0,Q3,0,2,0,California,0,0,0,29,856.35,0,0,0,856.35,0,1,95903,1
76,16,20.42,San Martin,4162,Two Year,United States,7576-JMYWV,Stayed,1,0,Female,1,3,"37.084697, -121.606417",37.084697,-121.606417,1,110.2,1,1,7,Offer B,1,1,1,1,Bank Withdrawal,1,5671,1,Q3,1,3,1,California,1,0,1,46,4972.1,0,939.32,0,5911.42,0,1,95046,0
26,0,17.3,Palo Alto,2400,One Year,United States,5849-ASHZJ,Stayed,1,0,Male,0,,"37.416159, -122.131337",37.416159,-122.131337,0,20.05,0,3,0,,0,0,0,0,Credit Card,1,24492,0,Q3,0,3,0,California,0,0,0,27,552.9,0,467.1,0,1020,1,0,94306,0
