Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Contract,Internet Service,Internet Type,Monthly Charge,Multiple Lines,Phone Service,Population,Satisfaction Score,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Unlimited Data,Churn
42,0.0,28.18,5854,Month-to-Month,0,Fiber Optic,20.25,0,1,19391,4,0,0,0,1,20.25,0.0,28.18,48.43,0,0
45,29.0,0.0,4570,Month-to-Month,1,DSL,24.4,0,0,386,3,0,0,0,1,24.4,0.0,0.0,24.4,1,0
51,28.0,37.04,2383,Month-to-Month,1,Fiber Optic,85.65,1,1,210,3,1,1,0,32,2664.3,0.0,1185.28,3849.58,1,0
27,0.0,15.85,3948,Month-to-Month,0,Fiber Optic,19.55,0,1,34447,4,0,0,0,28,543.8,0.0,443.8,987.6,0,0
20,47.0,43.78,4709,Month-to-Month,1,DSL,65.05,1,1,265,4,0,0,0,22,1427.55,10.0,963.16,2400.71,0,0
72,3.0,16.87,4181,Two Year,1,Fiber Optic,75.65,1,1,5635,4,0,0,0,70,5411.4,0.0,1180.9,6566.63,1,0
57,25.0,23.29,5425,Two Year,1,DSL,68.3,0,1,1219,5,1,1,0,64,4378.8,0.0,1490.56,5869.36,1,0
33,17.0,43.27,5036,Month-to-Month,1,Fiber Optic,79.65,1,1,228,1,0,0,0,3,251.75,0.0,129.81,381.56,1,1
49,11.0,6.56,3404,One Year,1,DSL,66.05,0,1,15177,4,0,0,1,47,3021.45,40.0,308.32,3369.77,0,0
28,52.0,39.78,6367,Two Year,1,DSL,80.4,0,1,26438,5,1,1,1,70,5717.85,0.0,2784.6,8502.45,1,0
43,0.0,47.31,3586,Two Year,0,Fiber Optic,24.45,1,1,350,5,0,0,0,45,1088.25,0.0,2128.95,3217.2,0,0
44,10.0,0.0,3298,Month-to-Month,1,DSL,24.45,0,0,6165,3,0,0,0,20,482.8,0.0,0.0,482.8,1,1
63,2.0,17.73,4806,Month-to-Month,1,Fiber Optic,94.15,0,1,16998,3,1,1,0,61,5731.85,0.0,1081.53,6813.38,1,0
41,0.0,33.68,4399,Two Year,0,Fiber Optic,20.15,0,1,27906,5,0,0,0,48,982.95,0.0,1616.64,2599.59,0,0
26,73.0,13.9,4898,One Year,1,Cable,85.85,0,1,48273,4,1,1,1,36,3003.55,0.0,500.4,3503.95,0,0
57,3.0,7.62,2504,Month-to-Month,1,Fiber Optic,89.65,0,1,18980,1,1,1,0,14,1208.35,120.0,106.68,1435.03,0,1
33,19.0,15.01,4014,Month-to-Month,1,Fiber Optic,90.35,0,1,37779,4,1,1,0,5,434.5,0.0,75.05,492.22,1,0
25,52.0,24.59,5725,Two Year,1,DSL,65.65,1,1,648,3,0,0,0,54,3566.7,0.0,1327.86,4894.56,1,0
80,30.0,0.0,3542,Month-to-Month,1,DSL,25.3,0,0,25135,3,0,0,0,3,77.75,0.0,0.0,77.75,1,1
23,73.0,37.75,5995,Two Year,1,Fiber Optic,89.1,1,1,44556,4,0,0,1,62,5411.65,0.0,2340.5,7752.15,1,0
55,6.0,7.37,5259,Month-to-Month,1,Fiber Optic,94.1,1,1,30540,5,1,1,1,7,701.3,0.0,51.59,752.89,1,0
71,3.0,48.62,4876,Month-to-Month,1,Fiber Optic,80.4,0,1,732,3,1,0,0,46,3605.2,20.0,2236.52,5861.72,0,1
51,30.0,20.29,5456,Month-to-Month,1,Fiber Optic,83.35,1,1,9423,2,1,1,0,33,2757.85,40.0,669.57,3467.42,0,1
50,13.0,0.0,5632,Month-to-Month,1,DSL,55.9,0,0,26099,1,1,1,1,39,2184.35,0.0,0.0,2184.35,1,1
73,27.0,10.19,3444,Month-to-Month,1,Fiber Optic,104.3,1,1,42239,1,1,0,1,27,2867.75,0.0,275.13,3142.88,1,1
37,22.0,20.64,4501,Month-to-Month,1,Fiber Optic,80.7,1,1,38756,3,0,0,0,26,2193.0,0.0,536.64,2729.64,1,0
44,11.0,22.75,3265,Month-to-Month,1,Cable,68.9,1,1,5446,5,1,1,0,20,1370.35,0.0,455.0,1825.35,1,0
56,30.0,30.28,2468,Month-to-Month,1,Fiber Optic,89.95,1,1,44117,1,1,1,0,28,2625.55,0.0,847.84,3473.39,1,1
27,0.0,10.42,4907,Month-to-Month,0,Fiber Optic,20.55,0,1,59289,3,0,0,0,10,252.75,0.0,104.2,356.95,0,0
56,30.0,36.35,3773,Month-to-Month,1,DSL,66.4,1,1,584,3,0,0,0,42,2727.8,0.0,1526.7,4254.5,1,0
62,13.0,34.57,4676,Month-to-Month,1,Fiber Optic,109.65,1,1,8660,3,1,1,1,50,5405.8,0.0,1728.5,7134.3,1,0
79,11.0,4.59,2834,Month-to-Month,1,Fiber Optic,91.4,0,1,30933,1,1,0,1,5,449.75,0.0,22.95,472.7,1,1
47,0.0,23.25,5384,One Year,0,Fiber Optic,19.8,0,1,23172,5,0,0,0,64,1336.65,0.0,1488.0,2824.65,0,0
25,48.0,36.34,5129,Month-to-Month,1,DSL,59.45,0,1,29387,1,1,1,0,15,892.65,0.0,545.1,1437.75,1,1
42,17.0,13.56,2775,Month-to-Month,1,Cable,64.9,0,1,3979,5,1,1,1,11,716.1,0.0,149.16,865.26,1,0
40,19.0,0.0,5122,Two Year,1,DSL,58.75,0,0,3600,4,1,1,1,52,3038.55,0.0,0.0,3038.55,1,0
28,0.0,47.53,2798,Two Year,0,Fiber Optic,20.05,0,1,187,3,0,0,0,44,845.25,0.0,2091.32,2921.26,0,0
49,4.0,17.76,6370,Two Year,1,Fiber Optic,108.0,1,1,18112,3,1,1,1,54,5760.65,0.0,959.04,6719.69,1,0
60,19.0,26.88,3101,Month-to-Month,1,Fiber Optic,96.2,1,1,20350,1,0,0,1,11,1222.05,0.0,295.68,1517.73,1,1
34,27.0,48.11,5232,One Year,1,Cable,49.4,0,1,5726,3,0,0,0,66,3251.85,0.0,3175.26,6427.11,1,0
60,0.0,6.64,4215,Month-to-Month,0,Fiber Optic,20.3,0,1,17922,5,0,0,0,1,20.3,0.0,6.64,26.94,0,0
36,22.0,37.0,3501,Two Year,1,DSL,71.1,0,1,46639,4,1,1,0,3,213.35,0.0,111.0,321.73,1,0
77,14.0,14.76,4503,Month-to-Month,1,Fiber Optic,84.9,1,1,42832,3,0,0,0,69,5785.65,0.0,1018.44,6804.09,1,0
80,15.0,48.59,5546,One Year,1,DSL,69.2,1,1,1279,4,0,0,1,71,4982.5,0.0,3449.89,8432.39,1,0
24,42.0,43.02,2739,Month-to-Month,1,DSL,50.55,0,1,32718,3,0,0,0,5,244.75,0.0,215.1,459.85,1,0
53,21.0,34.76,4764,Month-to-Month,1,Fiber Optic,69.85,0,1,626,5,0,0,0,3,199.85,0.0,104.28,304.13,1,0
26,76.0,1.84,2548,Month-to-Month,1,Fiber Optic,74.9,1,1,10226,3,0,1,0,1,74.9,0.0,1.84,76.74,1,1
21,85.0,20.93,4977,One Year,1,Fiber Optic,95.2,1,1,22085,5,1,1,1,47,4563.0,80.0,983.71,5626.71,0,0
62,0.0,30.17,5987,One Year,0,Fiber Optic,19.8,0,1,5395,5,0,0,0,37,695.05,0.0,1116.29,1811.34,0,0
72,10.0,48.16,5462,One Year,1,DSL,71.1,1,1,431,5,0,0,1,57,4140.1,0.0,2745.12,6885.22,1,0
36,0.0,18.43,3594,Month-to-Month,0,Fiber Optic,20.2,0,1,55,3,0,0,0,3,50.6,0.0,55.29,105.89,0,0
26,59.0,23.22,3300,Month-to-Month,1,Fiber Optic,98.55,1,1,15022,3,1,1,1,20,2031.95,0.0,464.4,2496.35,1,0
69,9.0,48.53,5225,Two Year,1,Fiber Optic,108.8,1,1,101215,5,1,0,1,65,7082.45,0.0,3154.45,10215.38,1,0
40,0.0,4.15,6011,Two Year,0,Fiber Optic,25.4,1,1,29825,5,0,0,0,72,1797.1,0.0,298.8,2095.9,0,0
29,0.0,29.38,5161,Two Year,0,Fiber Optic,20.75,0,1,3588,3,0,0,0,25,499.4,0.0,734.5,1233.9,0,0
30,52.0,26.87,2101,Month-to-Month,1,Fiber Optic,75.9,1,1,16525,1,0,0,0,2,143.35,0.0,53.74,197.09,1,1
27,48.0,0.0,4259,One Year,1,DSL,25.25,0,0,44764,3,0,0,0,39,947.75,0.0,0.0,947.75,1,0
28,51.0,40.64,3291,Month-to-Month,1,Fiber Optic,85.95,0,1,22292,5,1,1,0,6,514.6,0.0,243.84,758.44,1,0
26,82.0,22.14,5505,Month-to-Month,1,Fiber Optic,94.75,0,1,115,5,1,1,1,8,759.55,0.0,177.12,936.67,1,0
62,25.0,46.79,5159,Month-to-Month,1,Fiber Optic,74.9,1,1,167,1,0,0,0,7,541.15,0.0,327.53,868.68,1,1
68,20.0,31.25,3123,Month-to-Month,1,Fiber Optic,101.0,1,1,3070,1,1,0,1,43,4388.4,150.0,1343.75,5882.15,0,1
41,25.0,0.0,3176,Month-to-Month,1,DSL,40.45,0,0,62036,3,0,0,0,43,1912.85,0.0,0.0,1912.85,1,0
77,23.0,31.17,2740,Month-to-Month,1,Fiber Optic,94.75,0,1,28201,2,1,0,1,23,2293.6,0.0,716.91,3010.51,1,1
33,19.0,30.87,5456,Month-to-Month,1,DSL,44.5,0,1,942,5,0,0,0,2,90.05,0.0,61.74,151.79,1,0
73,30.0,15.19,5098,Month-to-Month,1,Fiber Optic,72.6,1,1,21990,3,0,0,0,2,154.3,0.0,30.38,184.68,1,0
79,26.0,0.0,5303,Month-to-Month,1,Cable,36.45,0,0,18112,3,0,0,1,1,36.45,0.0,0.0,36.45,1,1
59,23.0,5.63,5887,One Year,1,Fiber Optic,105.95,0,1,43857,1,1,1,1,14,1348.9,0.0,78.82,1427.72,1,1
34,23.0,46.4,3314,One Year,1,Cable,64.9,0,1,26662,4,1,1,1,23,1509.8,130.0,1067.2,2707.0,0,0
39,0.0,47.21,5851,Two Year,0,Fiber Optic,25.1,1,1,37417,3,0,0,0,30,789.55,0.0,1416.3,2190.44,0,0
34,3.0,14.12,4898,Month-to-Month,1,Fiber Optic,100.85,1,1,37926,1,1,1,1,45,4740.0,0.0,635.4,5375.4,1,1
40,19.0,39.45,4663,One Year,1,Fiber Optic,103.15,0,1,3012,4,1,1,1,66,7031.3,0.0,2603.7,9635.0,1,0
41,0.0,19.98,5628,Two Year,0,Fiber Optic,19.45,0,1,56280,3,0,0,0,64,1208.6,0.0,1278.72,2487.32,0,0
51,26.0,45.68,3019,Month-to-Month,1,Cable,81.0,1,1,7344,3,1,1,1,24,1923.85,0.0,1096.32,3020.17,1,0
29,47.0,26.03,5189,Month-to-Month,1,Fiber Optic,80.15,1,1,8644,3,0,0,0,29,2265.25,0.0,754.87,3020.12,1,1
30,52.0,37.03,5407,Two Year,1,DSL,88.95,1,1,30476,3,1,1,1,13,1161.75,0.0,481.39,1643.14,1,0
26,41.0,17.66,2885,Month-to-Month,1,Fiber Optic,84.25,0,1,30173,2,0,1,0,38,3264.5,0.0,671.08,3935.58,1,1
64,23.0,41.26,3345,One Year,1,Fiber Optic,75.15,0,1,30587,4,0,0,0,48,3772.65,0.0,1980.48,5753.13,1,0
55,4.0,31.92,3314,Month-to-Month,1,Fiber Optic,90.4,0,1,8759,3,1,1,0,4,356.65,0.0,127.68,484.33,1,0
56,29.0,49.21,6113,Month-to-Month,1,Fiber Optic,80.6,0,1,40915,4,0,0,0,53,4348.1,90.0,2608.13,7006.78,0,0
54,29.0,18.26,2500,Month-to-Month,1,Fiber Optic,86.05,0,1,4318,4,1,1,0,3,244.85,0.0,54.78,299.63,1,0
54,13.0,1.09,3760,Month-to-Month,1,Fiber Optic,87.2,1,1,3979,3,0,0,1,47,4017.45,0.0,51.23,4068.68,1,0
36,3.0,39.39,5757,Month-to-Month,1,Fiber Optic,80.25,1,1,170,5,0,0,0,41,3439.0,0.0,1614.99,5051.81,1,0
28,0.0,21.19,4840,One Year,0,Fiber Optic,20.35,0,1,15638,4,0,0,0,29,617.35,0.0,614.51,1231.86,0,0
78,18.0,21.09,3896,Month-to-Month,1,Fiber Optic,74.7,0,1,48690,4,0,0,0,18,1294.6,20.0,379.62,1694.22,0,0
61,0.0,40.81,3000,One Year,0,Fiber Optic,20.25,0,1,17269,4,0,0,0,24,439.75,0.0,979.44,1419.19,0,0
74,13.0,3.84,3763,Month-to-Month,1,Fiber Optic,76.45,1,1,4258,3,0,0,0,1,76.45,10.0,3.84,90.29,0,1
24,53.0,26.99,5269,One Year,1,Cable,68.4,1,1,69850,3,1,1,0,58,3972.25,0.0,1565.42,5537.67,1,0
66,19.0,37.84,5868,Two Year,1,Fiber Optic,94.65,0,1,25,3,1,1,1,15,1285.05,0.0,567.6,1852.65,1,0
19,73.0,41.91,5234,Two Year,1,Fiber Optic,109.9,0,1,40152,4,1,1,1,72,7624.2,0.0,3017.52,10641.72,1,0
47,12.0,33.46,2404,Month-to-Month,1,Fiber Optic,69.4,0,1,27808,1,0,0,0,1,69.4,10.0,33.46,112.86,0,1
42,20.0,34.05,4600,Month-to-Month,1,Fiber Optic,88.8,1,1,29337,3,0,0,0,19,1672.35,0.0,646.95,2319.3,1,0
44,13.0,35.61,2405,Month-to-Month,1,Fiber Optic,79.45,0,1,28403,1,0,0,0,38,3013.05,40.0,1353.18,4396.87,0,1
33,0.0,39.56,3675,Two Year,0,Fiber Optic,25.1,1,1,373,4,0,0,0,18,428.45,0.0,712.08,1125.96,0,0
32,25.0,0.0,5534,Month-to-Month,1,Cable,41.35,0,0,36631,3,0,0,0,3,107.25,0.0,0.0,107.25,1,0
50,57.0,1.53,2775,One Year,1,Fiber Optic,89.7,0,1,56126,4,0,0,1,35,3165.6,0.0,53.55,3219.15,1,0
58,12.0,44.75,5930,Month-to-Month,1,Cable,45.85,0,1,290,2,0,0,0,1,45.85,0.0,44.75,90.6,1,1
79,30.0,42.95,4604,One Year,1,DSL,64.95,0,1,23444,4,1,0,0,21,1339.8,0.0,901.95,2241.75,1,0
45,0.0,31.28,3248,Month-to-Month,0,Fiber Optic,19.05,0,1,52664,4,0,0,0,9,157.65,0.0,281.52,439.17,0,0
31,24.0,7.16,4890,Two Year,1,Fiber Optic,106.1,1,1,4913,3,0,0,1,72,7548.6,0.0,515.52,8040.73,1,0
21,59.0,20.03,5829,Month-to-Month,1,Fiber Optic,86.2,0,1,259,1,0,1,1,15,1270.2,100.0,300.45,1670.65,0,1
49,15.0,22.8,3289,Month-to-Month,1,Fiber Optic,84.55,1,1,16985,3,0,0,0,45,3713.95,0.0,1026.0,4739.95,1,0
75,3.0,0.0,4133,Month-to-Month,1,DSL,30.75,0,0,25303,5,0,0,0,3,82.85,0.0,0.0,82.85,1,0
49,0.0,17.92,5876,Month-to-Month,0,Fiber Optic,20.75,0,1,183,3,0,0,0,35,739.9,0.0,627.2,1367.1,0,0
60,0.0,2.81,4432,Two Year,0,Fiber Optic,24.25,1,1,48207,4,0,0,0,43,1077.95,0.0,120.83,1198.78,0,0
63,26.0,44.66,3344,Month-to-Month,1,Fiber Optic,86.25,0,1,3124,2,0,0,1,7,587.1,0.0,312.62,899.72,1,1
25,59.0,35.01,6236,Two Year,1,DSL,79.85,1,1,4602,5,1,1,1,66,5234.95,0.0,2310.66,7545.61,1,0
37,26.0,18.57,5479,Month-to-Month,1,DSL,44.75,0,1,24499,4,0,0,0,1,44.75,10.0,18.57,73.32,0,0
37,15.0,2.96,2919,Month-to-Month,1,Fiber Optic,73.25,1,1,14493,1,0,0,0,2,131.05,0.0,5.92,136.97,1,1
42,0.0,33.71,4404,Two Year,0,Fiber Optic,26.5,1,1,16206,3,0,0,0,65,1698.55,0.0,2191.15,3889.7,0,0
43,26.0,22.71,4601,One Year,1,Fiber Optic,110.15,1,1,1916,1,1,1,1,59,6448.05,0.0,1339.89,7787.94,1,1
62,8.0,5.56,3712,Month-to-Month,1,DSL,49.9,1,1,16041,4,0,0,0,30,1441.95,100.0,166.8,1708.75,0,0
61,13.0,13.63,3256,Month-to-Month,1,DSL,44.95,0,1,25566,5,0,0,0,1,44.95,0.0,13.63,58.58,1,0
56,18.0,45.92,3949,Month-to-Month,1,Fiber Optic,94.5,0,1,35426,3,1,1,1,31,2979.2,0.0,1423.52,4402.72,1,0
41,8.0,38.82,3997,One Year,1,Cable,70.55,1,1,12348,4,1,1,0,48,3420.5,0.0,1863.36,5283.86,1,0
30,82.0,17.31,4397,One Year,1,Cable,80.45,1,1,598,3,1,1,1,42,3375.9,0.0,727.02,4102.92,1,0
29,0.0,23.55,5463,Two Year,0,Fiber Optic,20.2,0,1,31586,3,0,0,0,69,1376.5,0.0,1624.95,3001.45,0,0
47,0.0,3.95,2861,Two Year,0,Fiber Optic,21.3,0,1,34045,4,0,0,0,47,1041.8,0.0,185.65,1227.45,0,0
62,0.0,44.13,4122,One Year,0,Fiber Optic,19.7,0,1,8403,3,0,0,0,6,94.45,0.0,264.78,359.23,0,0
54,23.0,0.0,2540,Two Year,1,Cable,41.9,0,0,31678,3,0,0,0,47,1875.25,0.0,0.0,1875.25,1,0
58,30.0,26.53,3204,Month-to-Month,1,DSL,44.4,0,1,13290,2,0,0,0,1,44.4,0.0,26.53,70.93,1,1
40,0.0,48.61,4004,One Year,0,Fiber Optic,20.15,0,1,183,4,0,0,0,9,163.7,0.0,437.49,601.19,0,0
79,23.0,17.3,4671,Two Year,1,DSL,84.1,1,1,20486,3,1,0,1,72,5981.65,0.0,1245.6,7227.25,1,0
64,0.0,16.13,6444,Two Year,0,Fiber Optic,19.6,0,1,384,5,0,0,0,71,1387.45,0.0,1145.23,2532.68,0,0
40,0.0,30.86,5570,Two Year,0,Fiber Optic,19.9,0,1,20200,5,0,0,0,69,1363.45,0.0,2129.34,3492.79,0,0
61,6.0,0.0,5045,Month-to-Month,1,DSL,30.05,0,0,29310,4,0,0,0,51,1529.45,0.0,0.0,1529.45,1,0
66,4.0,8.75,3828,One Year,1,Fiber Optic,80.25,1,1,175,4,0,0,0,4,303.7,30.0,35.0,368.7,0,0
53,4.0,34.41,5189,One Year,1,DSL,64.4,1,1,43491,2,0,0,0,34,2088.75,0.0,1169.94,3258.69,1,1
33,13.0,39.82,2595,One Year,1,DSL,78.75,1,1,339,3,1,1,1,45,3600.65,0.0,1791.9,5392.55,1,0
24,27.0,37.97,6082,Two Year,1,Fiber Optic,114.35,1,1,7857,4,1,1,1,69,7665.8,10.0,2619.93,10295.73,0,0
72,29.0,27.56,6035,Month-to-Month,1,Fiber Optic,76.85,1,1,60294,3,0,0,0,56,4275.75,120.0,1543.36,5939.11,0,0
49,8.0,30.5,5723,Two Year,1,Fiber Optic,113.2,1,1,1851,4,1,1,1,35,3914.05,0.0,1067.5,4981.55,1,0
52,27.0,30.54,4059,Month-to-Month,1,Fiber Optic,70.55,0,1,439,3,0,0,0,6,433.95,0.0,183.24,617.19,1,0
38,15.0,44.2,2762,Month-to-Month,1,DSL,55.05,0,1,42209,3,0,0,1,11,608.15,0.0,486.2,1094.35,1,0
57,6.0,21.86,4480,Month-to-Month,1,Fiber Optic,101.55,1,1,350,3,1,1,1,3,298.35,0.0,65.58,363.93,1,1
46,4.0,0.0,5489,Two Year,1,Cable,44.55,0,0,364,3,1,1,0,8,343.45,0.0,0.0,343.45,1,0
79,11.0,28.88,4494,Two Year,1,DSL,64.55,1,1,44692,3,0,0,0,67,4250.1,0.0,1934.96,6185.06,1,0
63,22.0,10.43,5383,Month-to-Month,1,Fiber Optic,106.3,1,1,49431,2,1,1,1,41,4443.45,130.0,427.63,5001.08,0,1
48,0.0,46.86,4298,Month-to-Month,0,Fiber Optic,19.6,0,1,33057,3,0,0,0,16,314.45,0.0,749.76,1037.38,0,0
36,19.0,0.0,4414,Month-to-Month,1,DSL,40.1,0,0,40917,2,1,1,0,7,293.3,0.0,0.0,293.3,1,1
29,59.0,31.27,5724,Two Year,1,DSL,84.3,1,1,1519,4,1,1,1,58,4916.4,0.0,1813.66,6730.06,1,0
24,0.0,22.78,4949,Two Year,0,Fiber Optic,20.35,0,1,16346,3,0,0,0,72,1354.4,0.0,1640.16,2994.56,0,0
49,3.0,21.39,4740,One Year,1,DSL,73.85,1,1,335,4,0,0,1,48,3581.4,60.0,1026.72,4668.12,0,0
58,19.0,0.0,2990,One Year,1,DSL,33.6,0,0,13386,3,0,0,0,12,435.45,0.0,0.0,435.45,1,0
25,0.0,18.63,3960,Month-to-Month,0,Fiber Optic,20.15,0,1,11213,3,0,0,0,1,20.15,0.0,18.63,38.78,0,0
42,27.0,0.0,5623,One Year,1,DSL,57.6,0,0,23701,4,1,1,1,24,1367.75,0.0,0.0,1367.75,1,0
26,52.0,33.46,2317,Month-to-Month,1,Fiber Optic,105.2,1,1,40239,1,1,1,1,42,4400.75,0.0,1405.32,5765.92,1,1
63,28.0,47.72,2110,Month-to-Month,1,DSL,55.2,0,1,52,4,0,0,0,18,1058.1,0.0,858.96,1917.06,1,0
38,5.0,45.59,5684,Month-to-Month,1,DSL,43.95,0,1,21349,5,0,0,0,1,43.95,0.0,45.59,89.54,1,0
52,0.0,40.37,4501,Two Year,0,Fiber Optic,25.3,1,1,4644,4,0,0,0,61,1554.9,0.0,2462.57,4017.47,0,0
43,18.0,31.57,3559,Month-to-Month,1,Fiber Optic,90.65,1,1,282,3,0,0,1,4,367.95,0.0,126.28,494.23,1,0
63,0.0,4.76,3595,Month-to-Month,0,Fiber Optic,20.55,0,1,32564,3,0,0,0,10,187.35,0.0,47.6,234.95,0,0
47,4.0,0.0,2563,Month-to-Month,1,DSL,33.65,0,0,904,2,0,0,0,4,137.85,0.0,0.0,137.85,1,1
56,12.0,47.18,4207,One Year,1,Cable,60.5,0,1,30458,3,0,0,0,51,3145.15,0.0,2406.18,5551.33,1,0
77,8.0,37.09,4499,One Year,1,Fiber Optic,100.55,0,1,812,4,1,1,1,43,4304.0,0.0,1594.87,5898.87,1,0
30,71.0,22.33,5054,Two Year,1,Cable,90.1,1,1,3002,3,1,1,1,71,6310.9,0.0,1585.43,7896.33,1,0
74,23.0,39.63,4038,Month-to-Month,1,Fiber Optic,79.75,0,1,263,3,1,0,0,2,159.4,10.0,79.26,248.66,0,1
55,19.0,19.25,6354,One Year,1,DSL,61.35,0,1,59632,3,0,0,0,65,3874.1,0.0,1251.25,5125.35,1,0
38,0.0,40.2,4258,Month-to-Month,0,Fiber Optic,20.0,0,1,28,3,0,0,0,3,63.6,0.0,120.6,184.2,0,0
63,0.0,26.37,4402,One Year,0,Fiber Optic,20.15,0,1,3064,4,0,0,0,23,405.6,0.0,606.51,1012.11,0,0
59,0.0,31.14,4672,Month-to-Month,0,Fiber Optic,20.0,0,1,4258,1,0,0,0,15,288.05,0.0,467.1,755.15,0,1
56,18.0,0.0,5079,One Year,1,DSL,40.65,0,0,27804,3,0,0,1,25,970.55,0.0,0.0,970.55,1,0
33,23.0,0.0,4571,Month-to-Month,1,DSL,36.25,0,0,26213,3,0,0,0,10,374.0,0.0,0.0,374.0,1,0
22,69.0,35.59,5276,Month-to-Month,1,Fiber Optic,73.85,0,1,13945,3,0,1,0,56,4092.85,0.0,1993.04,6085.89,1,1
50,21.0,24.31,5472,One Year,1,DSL,55.85,1,1,947,2,0,0,0,17,937.5,0.0,413.27,1350.77,1,1
21,51.0,4.94,3847,Two Year,1,Fiber Optic,99.3,0,1,57748,4,1,1,1,25,2513.5,0.0,123.5,2637.0,1,0
34,19.0,14.98,6251,Two Year,1,Fiber Optic,113.75,1,1,228,3,1,1,1,59,6561.25,0.0,883.82,7445.07,1,0
41,53.0,48.08,2622,Month-to-Month,1,Fiber Optic,89.65,1,1,31678,3,0,0,1,35,3161.6,40.0,1682.8,4884.4,0,0
80,8.0,47.97,2825,Month-to-Month,1,Fiber Optic,70.15,0,1,1363,2,0,0,0,1,70.15,0.0,47.97,118.12,1,1
23,0.0,10.97,5409,Month-to-Month,0,Fiber Optic,19.5,0,1,42491,3,0,0,0,20,413.0,0.0,219.4,632.4,0,0
66,20.0,15.44,4045,Month-to-Month,1,Fiber Optic,91.55,0,1,14062,5,1,1,0,16,1540.05,0.0,247.04,1787.09,1,0
38,22.0,36.21,5437,One Year,1,Fiber Optic,103.4,0,1,58218,5,1,1,1,50,5236.4,0.0,1810.5,7046.9,1,0
78,26.0,0.0,4933,Two Year,1,Cable,63.1,0,0,1564,3,1,1,1,72,4685.55,0.0,0.0,4685.55,1,0
61,30.0,32.86,4310,One Year,1,Cable,74.4,0,1,626,3,1,1,1,24,1712.9,0.0,788.64,2501.54,1,0
38,0.0,22.34,4909,Month-to-Month,0,Fiber Optic,19.55,0,1,34946,5,0,0,0,8,161.15,0.0,178.72,339.87,0,0
22,73.0,8.33,5377,One Year,1,Fiber Optic,100.3,0,1,35582,4,1,1,1,53,5200.8,0.0,441.49,5642.29,1,0
49,0.0,41.99,5336,Two Year,0,Fiber Optic,19.8,0,1,1723,5,0,0,0,37,813.3,0.0,1553.63,2366.93,0,0
37,14.0,46.16,4938,Two Year,1,Fiber Optic,110.9,1,1,1090,3,1,1,1,72,8240.85,0.0,3323.52,11564.37,1,0
53,23.0,39.38,2421,Month-to-Month,1,Fiber Optic,69.65,0,1,27891,2,0,0,0,3,220.1,0.0,118.14,338.24,1,1
19,27.0,44.66,3442,One Year,1,DSL,69.7,0,1,5221,3,0,0,1,48,3023.65,0.0,2143.68,5167.33,1,0
67,5.0,3.18,4662,Month-to-Month,1,Fiber Optic,98.7,1,1,34045,1,1,1,1,58,5812.6,0.0,184.44,5997.04,1,1
28,0.0,1.22,5114,Two Year,0,Fiber Optic,25.15,1,1,49281,3,0,0,0,70,1790.15,0.0,85.4,1875.55,0,0
55,0.0,1.87,5914,Two Year,0,Fiber Optic,19.8,0,1,506,4,0,0,0,50,1013.2,0.0,93.5,1106.7,0,0
62,2.0,0.0,2431,Month-to-Month,1,DSL,35.75,0,0,42617,4,0,0,0,28,961.4,0.0,0.0,961.4,1,0
46,6.0,15.52,5242,Two Year,1,Cable,67.8,1,1,35643,3,0,0,0,72,4804.65,0.0,1117.44,5922.09,1,0
39,14.0,12.46,3980,Month-to-Month,1,DSL,45.35,0,1,29539,4,0,0,0,1,45.35,0.0,12.46,57.81,1,0
42,0.0,33.18,4097,Month-to-Month,0,Fiber Optic,18.95,0,1,175,5,0,0,0,7,130.55,0.0,232.26,362.81,0,0
32,17.0,0.0,2793,Month-to-Month,1,DSL,29.6,0,0,301,4,0,0,0,11,346.45,0.0,0.0,319.21,1,0
58,12.0,43.28,4243,Month-to-Month,1,Fiber Optic,99.85,0,1,24194,1,1,1,1,10,990.9,0.0,432.8,1423.7,1,1
70,24.0,24.13,5651,Month-to-Month,1,Fiber Optic,89.6,1,1,476,1,1,0,0,68,6127.6,0.0,1640.84,7768.44,1,1
67,10.0,4.4,5692,Two Year,1,Fiber Optic,109.05,1,1,47568,3,1,1,1,65,7108.2,0.0,286.0,7359.53,1,0
75,25.0,23.04,4993,Two Year,1,Fiber Optic,110.75,1,1,37527,5,1,1,1,52,5832.0,0.0,1198.08,7023.82,1,0
23,0.0,18.15,2798,Month-to-Month,0,Fiber Optic,20.05,0,1,5564,5,0,0,0,1,20.05,0.0,18.15,38.2,0,0
51,22.0,49.79,4381,Month-to-Month,1,Fiber Optic,80.2,0,1,32899,2,0,0,1,2,146.05,10.0,99.58,255.63,0,1
29,59.0,12.12,5701,Month-to-Month,1,Cable,54.1,1,1,27023,3,0,0,0,25,1373.0,110.0,303.0,1786.0,0,0
54,22.0,2.24,4661,Month-to-Month,1,DSL,59.5,0,1,1236,3,0,0,1,7,415.95,0.0,15.68,431.63,1,1
24,0.0,12.85,5045,Two Year,0,Fiber Optic,19.7,0,1,34902,3,0,0,0,30,599.25,0.0,385.5,934.96,0,0
